任务完成情况,平均花费,包含任务数,总花费,
1,67.5,4,270,4
1,65.5,17,1113.5,17
1,68,2,136,2
1,65.5,14,917,14
1,65.5,12,786,12
1,65.5,14,917,14
1,66.5,5,332.5,5
1,68,7,476,7
1,66.5,15,997.5,15
1,67,4,268,4
1,65.5,2,131,2
1,65.5,8,524,8
1,67.5,10,675,10
1,66.5,5,332.5,5
1,65.5,6,393,6
1,66,7,462,7
1,67.5,1,67.5,1
1,69,10,690,10
1,66,7,462,7
1,66,5,330,5
1,69,5,345,5
1,67,1,67,1
1,68,1,68,1
1,69,3,207,3
1,65.5,10,655,10
1,66.5,9,598.5,9
1,66.5,8,532,8
1,66,10,660,10
1,66,17,1122,17
1,66.5,2,133,2
1,65.5,11,720.5,11
1,71,1,71,1
1,66,2,132,2
1,68.5,7,479.5,7
1,70.5,1,70.5,1
1,66,3,198,3
1,67.5,2,135,2
1,66.5,5,332.5,5
1,70,1,70,1
1,65.5,10,655,10
1,66.5,6,399,6
1,67,2,134,2
1,66.5,4,266,4
1,66.5,6,399,6
1,70,3,210,3
1,65.5,12,786,12
1,67,9,603,9
1,66,9,594,9
1,66,10,660,10
1,68,3,204,3
1,68,4,272,4
1,66,6,396,6
1,67,3,201,3
1,67.5,5,337.5,5
1,67.5,1,67.5,1
1,68,3,204,3
1,67,2,134,2
1,67,1,67,1
1,66,6,396,6
1,68,11,748,11
1,66,10,660,10
1,68,10,680,10
1,67.5,5,337.5,5
1,66,3,198,3
1,69.5,7,486.5,7
1,68.5,3,205.5,3
1,66.5,6,399,6
1,65.5,10,655,10
1,67.5,8,540,8
1,66.5,11,731.5,11
1,65.5,8,524,8
1,66,8,528,8
1,67,6,402,6
1,66.5,4,266,4
1,65.5,10,655,10
1,70,3,210,3
1,66.5,2,133,2
1,67.5,9,607.5,9
1,66.5,6,399,6
0,67.5,7,472.5,0
1,67,2,134,2
1,66.5,12,798,12
1,67,1,67,1
1,67,1,67,1
1,67,2,134,2
1,68.5,2,137,2
1,66,2,132,2
1,66,7,462,7
1,67,4,268,4
1,65.5,8,524,8
1,65.5,2,131,2
1,66.5,8,532,8
1,66,14,924,14
1,67.5,2,135,2
1,66,4,264,4
1,66,10,660,10
1,65.5,14,917,14
1,65.5,11,720.5,11
1,69,5,345,5
1,66.5,8,532,8
1,67,1,67,1
1,70,1,70,1
1,66,5,330,5
1,66,3,198,3
1,65.5,7,458.5,7
1,65.5,8,524,8
1,66.5,8,532,8
1,65.5,7,458.5,7
1,65.5,7,458.5,7
1,67.5,2,135,2
1,68.5,3,205.5,3
1,66.5,4,266,4
1,70.5,1,70.5,1
1,68.5,3,205.5,3
1,65.5,5,327.5,5
1,68,2,136,2
1,70,2,140,2
1,66.5,4,266,4
1,67,7,469,7
1,67.5,5,337.5,5
1,68.5,1,68.5,1
1,68.5,2,137,2
1,67,1,67,1
1,68,1,68,1
1,67.5,4,270,4
1,65.5,6,393,6
1,68.5,3,205.5,3
1,66,7,462,7
1,68,1,68,1
1,66.5,11,731.5,11
1,66,3,198,3
1,67,9,603,9
1,67.5,3,202.5,3
1,68.5,3,205.5,3
1,65.5,8,524,8
1,65.5,8,524,8
1,67,4,268,4
1,66,9,594,9
1,67,2,134,2
1,66,2,132,2
1,68,7,476,7
0,69,2,138,0
1,67,2,134,2
1,66,7,462,7
1,66.5,5,332.5,5
1,66,4,264,4
1,67.5,2,135,2
1,65.5,2,131,2
1,69,2,138,2
1,67.5,4,270,4
,,,55574.5,826
