纬度,经度,每类所含任务个数
23.17881169,113.357387,7
22.7315356,114.2332306,5
22.58606092,113.8937833,12
23.20617703,113.278833,2
23.09335888,113.3354695,2
23.14705843,113.3518628,8
23.10022669,113.4064004,1
22.72418364,114.2942715,8
23.29451408,113.3313063,43
23.08537224,113.2829851,3
23.18688896,113.2581128,8
22.70743279,113.9300131,6
22.58175242,114.1113526,3
22.65746229,114.3476957,21
23.20657687,113.3360382,7
23.16536693,113.4175332,4
23.24069001,113.2919249,8
23.1211729,113.4169021,4
22.70124207,114.23431,6
22.72220691,114.2667483,5
23.20979167,113.2451723,6
23.09280752,113.3150826,12
23.16685465,113.2572992,7
23.12217085,113.3705625,2
23.16614606,113.3856867,35
22.83560706,113.981193,2
22.63892492,114.5130004,1
22.5576125,113.8993891,3
22.58709459,113.8704349,12
23.20279437,113.3926244,4
23.424401,113.3183627,1
22.69963949,114.1445579,1
22.73805375,114.2819248,5
22.58346669,113.9120645,12
23.15131026,113.2341294,8
23.22567598,113.3099745,11
23.13915001,113.3278082,5
23.06356681,113.3634804,4
23.12456349,113.4015546,10
22.73466108,114.3832577,1
23.10237684,113.2766426,6
23.19821157,113.1471934,1
23.13976698,113.3848009,4
23.36455785,113.2098988,1
23.22438674,113.2560312,7
22.79120471,114.1055847,1
23.06824214,113.318757,3
23.17306761,113.2811694,4
23.10964758,113.2857672,4
23.17958782,113.3265944,3
22.57861128,113.8821382,7
23.14106036,113.517519,1
22.74690859,114.0246196,1
22.66929059,113.8178262,1
23.0912451,113.3010322,4
23.22254152,113.2731009,12
22.56801073,113.9103523,4
23.20441493,113.266136,6
23.13142423,113.3466041,2
22.73767936,114.255538,2
23.12834156,113.4266747,11
23.21318408,113.292192,12
23.15813727,113.326666,3
23.08502378,113.3573498,2
23.2064107,113.371801,2
23.22265572,113.2338259,8
22.7870271,114.3308735,1
23.17675443,113.2465984,8
22.53470014,113.934485,2
23.19773995,113.4183009,1
23.08567601,113.3321762,5
23.0753135,113.3079917,14
22.71564027,114.2457566,4
23.22278349,113.2971234,8
23.17646131,113.2645735,11
23.14899517,113.1701124,1
22.56992516,113.8948499,5
23.10687038,113.3150542,9
23.18710027,113.2349534,5
23.07180171,113.2884511,6
22.59671787,114.4823321,1
23.23431334,113.2794856,7
23.19492684,113.2757123,6
23.33185604,113.3038053,1
23.15780349,113.265897,2
23.1229609,113.2624036,2
22.73681337,114.2632111,3
23.19745882,113.3338211,8
23.12707143,113.3217089,6
23.08396833,113.3853151,2
22.64797517,114.237841,1
23.14733484,113.4423654,4
23.14115919,113.3774857,15
23.16297795,113.3043591,2
23.128903,113.3972205,6
23.14051479,113.3638526,6
23.0575755,113.3444969,4
22.69941278,114.2415045,13
23.24042751,113.3083565,4
23.10767496,113.3007578,6
22.55316139,114.1246391,1
22.67679151,114.1684238,2
23.21578696,113.2880672,6
23.23913431,113.3478236,2
23.16116335,113.3451778,3
23.08197971,113.2970518,2
22.75156188,114.2849993,6
23.10778553,113.2631504,3
23.20455753,113.2298549,5
22.59408747,113.9016255,6
22.59509216,114.1209645,2
23.16018246,113.4061292,3
23.13425616,113.4353505,6
23.18726538,113.3362882,5
22.55822386,114.0818804,1
23.16935695,113.2299136,2
23.12491601,113.4097898,8
23.2115028,113.2646779,11
23.09440663,113.2917583,11
22.73353055,114.2741134,14
23.09063986,113.327357,4
23.10686104,113.3796528,2
23.15793586,113.3716021,2
23.07291504,113.3591541,1
22.57648535,113.9023578,3
23.25614853,113.3214684,1
23.1770973,113.4048058,3
23.16762354,113.2718709,8
22.73544433,114.2966725,3
23.10184286,113.3344359,4
23.19906967,113.2625505,11
23.12966623,113.4219209,10
23.16074129,113.2401851,6
22.57579893,113.8910937,5
22.69926799,114.2641916,1
23.12780403,113.3369637,6
23.20278746,113.372812,9
23.17992592,113.2151645,2
23.21744803,113.3870716,3
23.14691959,113.3366339,3
22.74667807,114.2695447,2
23.12950014,113.3777177,6
22.72958468,114.2418324,9
23.12579641,113.2806837,2
23.11938621,113.4245869,5
22.57301682,113.879558,10
22.572008,113.9057461,10
22.60766566,113.8585519,1
23.1379793,113.2105169,1
23.16847363,113.332384,3
23.09119775,113.3478689,6
22.72380746,114.2498,3
23.17734778,113.25633,8
23.09996651,113.2606899,4
22.72199907,114.2782715,3
23.19597439,113.3472639,4
23.07274246,113.3239354,3
22.58487935,113.8803993,12
23.15229916,113.3144754,3
23.0963314,113.3040089,6
23.13171102,113.3917243,8
23.13671863,113.350222,10
23.12828342,113.3657218,8
23.24450454,113.2876906,10
23.20899624,113.2568598,5
23.15539029,113.2541438,5
22.56467212,113.9011198,7
23.10330125,113.3437605,3
22.58838011,113.9210808,4
22.72180876,114.2614038,10
23.21913876,113.3356555,2
23.09657329,113.3225211,5
22.71013819,114.2619703,3
23.17899755,113.3492715,8
23.14301684,113.2261254,2
23.1579329,113.3594199,5
23.11978596,113.3637512,9
22.67455842,114.2277209,1
22.5708103,114.1445953,1
23.21660156,113.2483294,6
22.75392493,114.3819253,1
22.56541135,113.8829003,4
23.17104526,113.3267373,3
23.1935987,113.2639351,6
23.20072258,113.1651197,1
22.58019046,113.8652108,4
23.26872801,113.307638,1
23.19322409,113.2384938,4
23.13464619,113.3051016,1
23.23479966,113.3109896,7
23.1877994,113.3296738,14
23.20883197,113.3307165,3
23.08476919,113.2923516,7
23.0917107,113.4135581,3
23.1804151,113.2614361,13
23.09214906,113.3634289,5
22.73117734,114.3027465,6
23.23158622,113.2643764,2
23.15368499,113.3322683,9
22.73281573,114.2873326,6
23.22968015,113.3108697,15
23.23754632,113.3012047,4
23.17912801,113.419112,1
23.24234814,113.2261859,1
23.0839938,113.3408589,6
23.19831214,113.2487304,3
22.71121496,114.2372838,5
23.18875939,113.342651,5
23.12899014,113.4042571,7
23.1585972,113.2275613,4
23.17827208,113.2757252,7
23.12112143,113.3448059,4
23.22200172,113.3075819,16
23.21205937,113.2846783,7
23.10256287,113.2949019,7
23.13950243,113.3375021,4
22.58205217,113.9073257,9
23.2265377,113.2967403,4
23.18405837,113.2481917,4
22.58381438,113.8748462,8
23.0877658,113.3338054,35
23.17402066,113.3658252,1
22.72781613,114.2628932,6
23.19641489,113.2701901,4
23.20168853,113.3996451,2
23.11426102,113.4176891,8
22.57701345,113.8746044,11
23.10017628,113.3129334,5
22.72413927,114.275564,4
22.74150256,114.2875124,4
23.16376379,113.4356948,1
23.1431788,113.2806584,1
23.10971825,113.2765415,2
23.19899194,113.4238969,1
23.09172933,113.2778312,5
23.08073766,113.2813977,4
22.58078892,113.9185288,5
23.11712058,113.2787457,1
23.1849904,113.2538183,9
22.58688932,113.9084362,9
23.21362533,113.2390575,6
23.09640686,113.3181399,8
23.07797577,113.2889636,6
23.0863846,113.3264271,9
23.12179479,113.3776647,3
23.14671178,113.3678771,3
23.17525849,113.2422746,5
22.70776951,114.242834,6
23.13024184,113.3566676,2
23.09830708,113.2676737,5
22.58183454,113.8917121,9
23.07141413,113.2951468,2
23.21272834,113.3329036,6
23.10804505,113.3379599,2
22.60951798,114.1294791,1
23.1264694,113.4162887,7
23.19018408,113.2674051,4
23.16746461,113.2465087,3
23.08120376,113.303496,6
23.10357826,113.3208328,4
23.09839418,113.2856535,4
23.13638279,113.3439203,4
23.13420195,113.3860949,10
23.15433001,113.4134853,2
23.07622064,113.2980428,10
23.21105313,113.2790539,6
23.19768091,113.3740983,4
23.14900466,113.3456525,6
23.12495493,113.4268248,8
22.73117827,114.2943969,5
23.16261833,113.3176504,3
22.56981712,113.900288,6
22.72836601,114.2283516,7
23.12377611,113.3261782,5
22.58879254,113.8665898,6
22.5714905,113.8872917,7
23.16694408,113.338011,5
23.21565299,113.3005692,2
23.17501258,113.3601955,7
23.11331984,113.2698653,3
23.20208509,113.3289907,6
22.56487551,113.893754,5
22.74692593,114.2832832,4
23.22650682,113.2729493,7
23.13247653,113.4171092,9
23.13386878,113.3264897,5
22.73318653,114.2499455,4
23.16982703,113.38766,9
23.10045561,113.3282016,8
23.21683753,113.28221,9
23.17866388,113.3395187,2
23.07800873,113.3558262,6
23.23692577,113.285352,6
23.19040909,113.3668925,1
23.11415999,113.4284501,3
23.08565179,113.2997258,7
22.71041064,114.2489342,4
22.71937017,114.2479789,6
22.70380837,114.2361209,12
23.11545269,113.402635,1
23.15768382,113.3507175,2
22.5650388,113.9044821,5
22.59231518,113.8954856,7
23.10409692,113.3891577,1
23.13638276,113.3324785,4
23.13701174,113.3947759,4
23.21757854,113.2579899,1
23.20467801,113.432874,1
23.20766177,113.376672,4
23.09314515,113.3087075,9
22.55509938,113.8929355,3
23.20055435,113.2583961,5
23.23174083,113.2821843,7
22.56328425,113.9080313,7
22.72964297,114.2793281,3
22.59043649,113.8878575,2
22.74093943,114.2623699,3
23.13751813,113.3896098,6
23.07235613,113.3113934,5
23.21253315,113.273887,3
23.22877055,113.293071,4
23.16551708,113.2289428,5
23.14233725,113.3449497,5
23.19221367,113.2726911,5
23.17610377,113.3747066,1
23.24299014,113.2804055,4
23.2192159,113.2899028,6
22.57423708,113.8965215,5
22.56899572,113.920738,1
22.58052599,113.8980456,5
22.71757538,114.2717234,4
22.70192424,114.2462872,5
23.16298474,113.3350698,2
23.13061333,113.4006011,13
22.58976403,113.9032577,4
23.21221006,113.2583206,5
23.1481697,113.3283392,4
23.15877248,113.2704395,5
23.07472708,113.3617359,7
22.7181118,114.2656816,6
23.16751647,113.2849363,2
